fips,county,year,netmigration_1864,pop_1864,rate_1864,netmigration_total,pop_total,rate_total
095,Phillips County,2003,-42,4477,-0.51,-23,4477,-0.51
097,Pitkin County,2003,55,16275,0.32,52,16275,0.32
099,Prowers County,2003,-253,11245,-2.25,-311,13822,-2.25
101,Pueblo County,2003,525,88079,0.6,882,147972,0.6
103,Rio Blanco County,2003,-63,3049,-2.07,-121,5855,-2.07
105,Rio Grande County,2003,154,11923,1.29,163,12619,1.29
107,Routt County,2003,47,14604,0.32,68,21128,0.32
109,Saguache County,2003,-17,4641,-0.37,-23,6279,-0.37
111,San Juan County,2003,9,554,1.63,10,615,1.63
113,San Miguel County,2003,-275,7010,-1.17,-82,7010,-1.17
115,Sedgwick County,2003,30,2037,1.47,40,2715,1.47
117,Summit County,2003,-170,26706,-0.46,-122,26706,-0.46
119,Teller County,2003,59,14566,0.41,90,22218,0.41
121,Washington County,2003,-186,5140,-2.47,-127,5140,-2.47
123,Weld County,2003,4158,149672,2.78,5755,207157,2.78
125,Yuma County,2003,250,10093,0.89,90,10093,0.89
000,Colorado,2004,11110,3580692,0.31,14300,4608811,0.31
001,Adams County,2004,2236,281374,0.79,3067,385945,0.79
003,Alamosa County,2004,-82,10188,-0.8,-124,15406,-0.8
005,Arapahoe County,2004,1438,337412,0.43,2232,523715,0.43
007,Archuleta County,2004,100,7867,1.27,142,11171,1.27
009,Baca County,2004,-60,3846,-1.56,-65,4166,-1.56
011,Bent County,2004,-350,6357,-4.64,-295,6357,-4.64
013,Boulder County,2004,-616,108254,-0.57,-1612,283288,-0.57
014,Broomfield County,2004,630,27844,2.26,1050,46406,2.26
015,Chaffee County,2004,109,12153,0.9,152,16946,0.9
017,Cheyenne County,2004,-35,1907,-1.84,-38,2070,-1.84
019,Clear Creek County,2004,-56,4648,-1.2,-114,9461,-1.2
021,Conejos County,2004,66,8375,0.79,67,8501,0.79
023,Costilla County,2004,25,3802,0.63,24,3802,0.63
025,Crowley County,2004,268,5237,5.12,278,5432,5.12
027,Custer County,2004,25,2846,0.88,35,3984,0.88
029,Delta County,2004,239,19500,1.23,361,29453,1.23
031,Denver County,2004,-6129,560230,-1.08,-6069,560230,-1.08
033,Dolores County,2004,-5,937,-0.53,-10,1873,-0.53
035,Douglas County,2004,6288,161129,3.9,9118,233646,3.9
037,Eagle County,2004,28,46485,0.05,23,46485,0.05
039,Elbert County,2004,2,11021,0.02,4,22041,0.02
041,El Paso County,2004,1320,381751,0.35,1931,558455,0.35
043,Fremont County,2004,12,2864,-0.42,-195,46540,-0.42
045,Garfield County,2004,125,44262,0.28,136,48156,0.28
047,Gilpin County,2004,-59,4825,-1.16,-56,4825,-1.16
049,Grand County,2004,110,12544,0.88,122,13912,0.88
051,Gunnison County,2004,-105,14230,-0.5,-71,14230,-0.5
053,Hinsdale County,2004,67,831,4.81,40,831,4.81
